name,category,value
Braeutigam,Neurobiology,1
Braeutigam,Integrative Physiology,100
Braeutigam,Cell Biology,100
Braeutigam,Molecular Biology,100
Braeutigam,Animal Behaviour,1
Braeutigam,Plant Biology,100
Braeutigam,Epigenetics,100
Braeutigam,Paleontology,1
Braeutigam,Evolutionary Biology,1
Braeutigam,Ecology,1
Braeutigam,Biological Responses to Climate Change,100
Braeutigam,Stress and Disease Biology,100
Braeutigam,Molecular Visualization,1
Braeutigam,Visual Representation of Biology/Science,1
Cheng,Neurobiology,100
Cheng,Integrative Physiology,1
Cheng,Cell Biology,100
Cheng,Molecular Biology,100
Cheng,Animal Behaviour,100
Cheng,Plant Biology,1
Cheng,Epigenetics,1
Cheng,Paleontology,1
Cheng,Evolutionary Biology,1
Cheng,Ecology,1
Cheng,Biological Responses to Climate Change,1
Cheng,Stress and Disease Biology,100
Cheng,Molecular Visualization,1
Cheng,Visual Representation of Biology/Science,1
Currie,Neurobiology,1
Currie,Integrative Physiology,1
Currie,Cell Biology,100
Currie,Molecular Biology,100
Currie,Animal Behaviour,1
Currie,Plant Biology,1
Currie,Epigenetics,100
Currie,Paleontology,1
Currie,Evolutionary Biology,1
Currie,Ecology,1
Currie,Biological Responses to Climate Change,1
Currie,Stress and Disease Biology,100
Currie,Molecular Visualization,100
Currie,Visual Representation of Biology/Science,1
D'Aloia,Neurobiology,1
D'Aloia,Integrative Physiology,1
D'Aloia,Cell Biology,1
D'Aloia,Molecular Biology,1
D'Aloia,Animal Behaviour,1
D'Aloia,Plant Biology,1
D'Aloia,Epigenetics,1
D'Aloia,Paleontology,1
D'Aloia,Evolutionary Biology,100
D'Aloia,Ecology,100
D'Aloia,Biological Responses to Climate Change,100
D'Aloia,Stress and Disease Biology,1
D'Aloia,Molecular Visualization,1
D'Aloia,Visual Representation of Biology/Science,1
Dillon,Neurobiology,1
Dillon,Integrative Physiology,1
Dillon,Cell Biology,1
Dillon,Molecular Biology,100
Dillon,Animal Behaviour,1
Dillon,Plant Biology,100
Dillon,Epigenetics,1
Dillon,Paleontology,1
Dillon,Evolutionary Biology,100
Dillon,Ecology,1
Dillon,Biological Responses to Climate Change,1
Dillon,Stress and Disease Biology,100
Dillon,Molecular Visualization,1
Dillon,Visual Representation of Biology/Science,1
Ensminger,Neurobiology,1
Ensminger,Integrative Physiology,1
Ensminger,Cell Biology,1
Ensminger,Molecular Biology,100
Ensminger,Animal Behaviour,1
Ensminger,Plant Biology,100
Ensminger,Epigenetics,1
Ensminger,Paleontology,1
Ensminger,Evolutionary Biology,1
Ensminger,Ecology,100
Ensminger,Biological Responses to Climate Change,100
Ensminger,Stress and Disease Biology,100
Ensminger,Molecular Visualization,1
Ensminger,Visual Representation of Biology/Science,1
Erclik,Neurobiology,100
Erclik,Integrative Physiology,1
Erclik,Cell Biology,100
Erclik,Molecular Biology,100
Erclik,Animal Behaviour,1
Erclik,Plant Biology,1
Erclik,Epigenetics,1
Erclik,Paleontology,1
Erclik,Evolutionary Biology,1
Erclik,Ecology,1
Erclik,Biological Responses to Climate Change,1
Erclik,Stress and Disease Biology,1
Erclik,Molecular Visualization,1
Erclik,Visual Representation of Biology/Science,1
Espie,Neurobiology,1
Espie,Integrative Physiology,100
Espie,Cell Biology,100
Espie,Molecular Biology,100
Espie,Animal Behaviour,1
Espie,Plant Biology,1
Espie,Epigenetics,1
Espie,Paleontology,1
Espie,Evolutionary Biology,1
Espie,Ecology,1
Espie,Biological Responses to Climate Change,1
Espie,Stress and Disease Biology,100
Espie,Molecular Visualization,1
Espie,Visual Representation of Biology/Science,1
Jenkinson,Neurobiology,1
Jenkinson,Integrative Physiology,1
Jenkinson,Cell Biology,1
Jenkinson,Molecular Biology,1
Jenkinson,Animal Behaviour,1
Jenkinson,Plant Biology,1
Jenkinson,Epigenetics,1
Jenkinson,Paleontology,1
Jenkinson,Evolutionary Biology,1
Jenkinson,Ecology,1
Jenkinson,Biological Responses to Climate Change,1
Jenkinson,Stress and Disease Biology,1
Jenkinson,Molecular Visualization,100
Jenkinson,Visual Representation of Biology/Science,100
Johnson,Neurobiology,1
Johnson,Integrative Physiology,1
Johnson,Cell Biology,1
Johnson,Molecular Biology,1
Johnson,Animal Behaviour,1
Johnson,Plant Biology,1
Johnson,Epigenetics,1
Johnson,Paleontology,1
Johnson,Evolutionary Biology,100
Johnson,Ecology,100
Johnson,Biological Responses to Climate Change,1
Johnson,Stress and Disease Biology,1
Johnson,Molecular Visualization,1
Johnson,Visual Representation of Biology/Science,1
Kotanen,Neurobiology,1
Kotanen,Integrative Physiology,1
Kotanen,Cell Biology,1
Kotanen,Molecular Biology,1
Kotanen,Animal Behaviour,1
Kotanen,Plant Biology,100
Kotanen,Epigenetics,1
Kotanen,Paleontology,1
Kotanen,Evolutionary Biology,1
Kotanen,Ecology,100
Kotanen,Biological Responses to Climate Change,100
Kotanen,Stress and Disease Biology,1
Kotanen,Molecular Visualization,1
Kotanen,Visual Representation of Biology/Science,1
Lange,Neurobiology,100
Lange,Integrative Physiology,100
Lange,Cell Biology,100
Lange,Molecular Biology,100
Lange,Animal Behaviour,1
Lange,Plant Biology,1
Lange,Epigenetics,1
Lange,Paleontology,1
Lange,Evolutionary Biology,1
Lange,Ecology,1
Lange,Biological Responses to Climate Change,1
Lange,Stress and Disease Biology,1
Lange,Molecular Visualization,1
Lange,Visual Representation of Biology/Science,1
