name,category,value
Levine,Neurobiology,100
Levine,Integrative Physiology,100
Levine,Cell Biology,1
Levine,Molecular Biology,100
Levine,Animal Behaviour,100
Levine,Plant Biology,1
Levine,Epigenetics,1
Levine,Paleontology,1
Levine,Evolutionary Biology,100
Levine,Ecology,100
Levine,Biological Responses to Climate Change,1
Levine,Stress and Disease Biology,1
Levine,Molecular Visualization,1
Levine,Visual Representation of Biology/Science,1
Liu,Neurobiology,100
Liu,Integrative Physiology,100
Liu,Cell Biology,1
Liu,Molecular Biology,1
Liu,Animal Behaviour,100
Liu,Plant Biology,1
Liu,Epigenetics,1
Liu,Paleontology,1
Liu,Evolutionary Biology,1
Liu,Ecology,1
Liu,Biological Responses to Climate Change,1
Liu,Stress and Disease Biology,1
Liu,Molecular Visualization,1
Liu,Visual Representation of Biology/Science,1
McCauley,Neurobiology,1
McCauley,Integrative Physiology,1
McCauley,Cell Biology,1
McCauley,Molecular Biology,1
McCauley,Animal Behaviour,100
McCauley,Plant Biology,1
McCauley,Epigenetics,1
McCauley,Paleontology,1
McCauley,Evolutionary Biology,1
McCauley,Ecology,100
McCauley,Biological Responses to Climate Change,100
McCauley,Stress and Disease Biology,1
McCauley,Molecular Visualization,1
McCauley,Visual Representation of Biology/Science,1
McMeans,Neurobiology,1
McMeans,Integrative Physiology,1
McMeans,Cell Biology,1
McMeans,Molecular Biology,1
McMeans,Animal Behaviour,100
McMeans,Plant Biology,1
McMeans,Epigenetics,1
McMeans,Paleontology,1
McMeans,Evolutionary Biology,1
McMeans,Ecology,100
McMeans,Biological Responses to Climate Change,100
McMeans,Stress and Disease Biology,1
McMeans,Molecular Visualization,1
McMeans,Visual Representation of Biology/Science,1
Murray,Neurobiology,1
Murray,Integrative Physiology,1
Murray,Cell Biology,1
Murray,Molecular Biology,1
Murray,Animal Behaviour,100
Murray,Plant Biology,1
Murray,Epigenetics,1
Murray,Paleontology,1
Murray,Evolutionary Biology,100
Murray,Ecology,100
Murray,Biological Responses to Climate Change,100
Murray,Stress and Disease Biology,100
Murray,Molecular Visualization,1
Murray,Visual Representation of Biology/Science,1
Ness,Neurobiology,1
Ness,Integrative Physiology,1
Ness,Cell Biology,1
Ness,Molecular Biology,100
Ness,Animal Behaviour,1
Ness,Plant Biology,1
Ness,Epigenetics,1
Ness,Paleontology,1
Ness,Evolutionary Biology,100
Ness,Ecology,1
Ness,Biological Responses to Climate Change,1
Ness,Stress and Disease Biology,100
Ness,Molecular Visualization,1
Ness,Visual Representation of Biology/Science,1
Ng,Neurobiology,1
Ng,Integrative Physiology,1
Ng,Cell Biology,1
Ng,Molecular Biology,100
Ng,Animal Behaviour,1
Ng,Plant Biology,1
Ng,Epigenetics,1
Ng,Paleontology,1
Ng,Evolutionary Biology,1
Ng,Ecology,1
Ng,Biological Responses to Climate Change,1
Ng,Stress and Disease Biology,1
Ng,Molecular Visualization,100
Ng,Visual Representation of Biology/Science,100
Nguyen Ba,Neurobiology,1
Nguyen Ba,Integrative Physiology,1
Nguyen Ba,Cell Biology,1
Nguyen Ba,Molecular Biology,100
Nguyen Ba,Animal Behaviour,1
Nguyen Ba,Plant Biology,1
Nguyen Ba,Epigenetics,1
Nguyen Ba,Paleontology,1
Nguyen Ba,Evolutionary Biology,100
Nguyen Ba,Ecology,1
Nguyen Ba,Biological Responses to Climate Change,1
Nguyen Ba,Stress and Disease Biology,1
Nguyen Ba,Molecular Visualization,1
Nguyen Ba,Visual Representation of Biology/Science,1
Phillips,Neurobiology,1
Phillips,Integrative Physiology,100
Phillips,Cell Biology,100
Phillips,Molecular Biology,100
Phillips,Animal Behaviour,1
Phillips,Plant Biology,100
Phillips,Epigenetics,1
Phillips,Paleontology,1
Phillips,Evolutionary Biology,1
Phillips,Ecology,1
Phillips,Biological Responses to Climate Change,1
Phillips,Stress and Disease Biology,1
Phillips,Molecular Visualization,1
Phillips,Visual Representation of Biology/Science,1
Ratcliffe,Neurobiology,100
Ratcliffe,Integrative Physiology,100
Ratcliffe,Cell Biology,1
Ratcliffe,Molecular Biology,1
Ratcliffe,Animal Behaviour,100
Ratcliffe,Plant Biology,1
Ratcliffe,Epigenetics,1
Ratcliffe,Paleontology,1
Ratcliffe,Evolutionary Biology,100
Ratcliffe,Ecology,100
Ratcliffe,Biological Responses to Climate Change,1
Ratcliffe,Stress and Disease Biology,1
Ratcliffe,Molecular Visualization,1
Ratcliffe,Visual Representation of Biology/Science,1
Reisz,Neurobiology,1
Reisz,Integrative Physiology,1
Reisz,Cell Biology,1
Reisz,Molecular Biology,1
Reisz,Animal Behaviour,1
Reisz,Plant Biology,1
Reisz,Epigenetics,1
Reisz,Paleontology,100
Reisz,Evolutionary Biology,100
Reisz,Ecology,1
Reisz,Biological Responses to Climate Change,100
Reisz,Stress and Disease Biology,1
Reisz,Molecular Visualization,1
Reisz,Visual Representation of Biology/Science,100
Resulaj,Neurobiology,100
Resulaj,Integrative Physiology,100
Resulaj,Cell Biology,1
Resulaj,Molecular Biology,1
Resulaj,Animal Behaviour,100
Resulaj,Plant Biology,1
Resulaj,Epigenetics,1
Resulaj,Paleontology,1
Resulaj,Evolutionary Biology,1
Resulaj,Ecology,1
Resulaj,Biological Responses to Climate Change,1
Resulaj,Stress and Disease Biology,1
Resulaj,Molecular Visualization,1
Resulaj,Visual Representation of Biology/Science,100
